id,titulo,autores,coleccion,serie,num_serie,isbn_col,isbn_libro,tomo,anio,editorial,edicion,resumen,estado
pap-not-1,"Teoría de singularidades en topología, geometría y foliaciones I","Jean-Paul>Brasselet, Felipe>Cano, Dominique>Cerveau, Dung Tráng>Lê, Frank>Loray, Mutsuo>Oka, José>Seade, Mark>Spivakovsky",Papirhos,Notas,1,978-607-02-5149-8,978-607-02-9845-5,nan,2017,"Instituto de Matemáticas, UNAM",1,Resumen proximamente,Publicado
cuad-x-1,Combinatoria,Maria Luisa>Pérez Seguí,Cuadernos de olimpiadas de matemáticas,,1,978-968-36-8599-5,978-607-02-85882,nan,2018,"Instituto de Matemáticas, UNAM",2,Resumen 2,Publicado
pap-tex-6,Curso introductorio de álgebra I,"Diana>Avella, Gabriela>Campero",Papirhos,Textos,6,978-607-02-5149-8,978-607-02-8824-1,1,2017,"Instituto de Matemáticas, UNAM",1,Resumen 3,Publicado
pap-tex-10,"Curso introductorio, de álgebra II","Diana>Avella, Gabriela>Campero, Edith Corina>Saenz Valadez",Papirhos,Textos,10,978-607-02-5149-8,978-607-30-3681-8,2,2020,"Instituto de Matemáticas, UNAM",1,"El presente texto está dirigido a estudiantes del primer semestre de carreras en ciencias exactas. Contiene temas que los introducen al álgebra y busca incorporar, mediante su tratamiento, una descripción minuciosa y rigurosa de los procedimientos de demostración y deducción necesarios para formar a los estudiantes en el pensamiento matemático abstracto. Es un texto con un grado elevado de rigor, claridad y pedagogía, que puede ser utilizado de manera autodidacta o como un complemento necesario para las clases en aula. Este tomo está conformado por cuatro capítulos, cada capítulo contiene bloques de ejercicios cuidadosamente seleccionados. En ellos se desarrolla la construcción de los números enteros y temas relacionados con esta estructura numérica. Una vez expuesta dicha construcción, se describen a detalle las características que lo llevan a ser un dominio entero.",Publicado
pap-tex-10,"Curso introductorio, de álgebra II","Diana>Avella, Gabriela>Campero, Edith Corina>Saenz Valadez",Papirhos,Textos,10,978-607-02-5149-8,978-607-30-3681-8,2,2020,"Instituto de Matemáticas, UNAM",1,Resumen proximamente,Publicado
pap-tex-1,Grupos I,"Diana>Avella, Octavio>Mendoza, Edith Corina>Saenz Valadez, María José>Souto",Papirhos,Textos,1,978-607-02-9375-7,978-607-02-9435-8,1,2014,"Instituto de Matemáticas, UNAM",3,Resumen 5,Publicado
pap-tex-4,Grupos II,"Diana>Avella, Octavio>Mendoza, Edith Corina>Saenz Valadez, María José>Souto",Papirhos,Textos,4,978-607-02-5149-8,978-607-02-7814-3,2,2016,"Instituto de Matemáticas, UNAM",1,Resuemn 6,Publicado
pap-mix-1,Por la senda de los círculos,"Cecilia>Neve Jimenez, Laura>Rosales Ortiz",Papirhos,Mixbaal,1,,,nan,nan,,nan,Resumen proximamente,
pap-ico-3,Concursos Nacionales de la Olimpiada Mexicana de Matemáticas:1987-2016,"Jose Antonio>Gómez Ortega, Carlos Jacob>Rubio Barrios, Rogelio>Valdez Delgado",Papirhos,Icosaedro,3,000,000,nan,2999,"Instituto de Matemáticas, UNAM",0,Resumen proximamente,Físico
pap-tex-2,Análisis Matemático,Mónica>Clapp,Papirhos,Textos,2,000,000,nan,2999,"Instituto de Matemáticas, UNAM",0,Resumen proximamente,Físico
pap-tex-3,Topología Diferencial,"Victor>Guillemin, Allan>Pollack",Papirhos,Textos,3,000,000,nan,2999,"Instituto de Matemáticas, UNAM",0,Resumen proximamente,Físico
pap-tex-5,Geometría euclidiana bidimensional y su grupo de transformaciones,"Manuel>Cruz, Montserrat>García",Papirhos,Textos,5,000,000,nan,2999,"Instituto de Matemáticas, UNAM",0,Resumen proximamente,Físico
pap-tex-7,Clases características,"John>Milnor, James>Stasheff",Papirhos,Textos,7,000,000,nan,2999,"Instituto de Matemáticas, UNAM",0,Resumen proximamente,Físico
pap-tex-9,Introducción al álgebra lineal,Felipe>Zaldivar,Papirhos,Textos,9,000,000,nan,2999,"Instituto de Matemáticas, UNAM",0,Resumen proximamente,Físico
pap-tex-11,Curso breve de geometría proyectiva,"Felipe>Cano, Beatriz>Molina-Samper, Fernando>Sanz",Papirhos,Textos,11,000,000,nan,2999,"Instituto de Matemáticas, UNAM",0,Resumen proximamente,Físico
pap-tex-12,Métodos topológicos en el estudio de las ecuaciones diferenciales no lineales,Pablo>Amster,Papirhos,Textos,12,000,000,nan,2999,"Instituto de Matemáticas, UNAM",0,Resumen proximamente,Físico
pap-not-2,"Teoría de singularidades en topología, geometría y foliaciones II","Jean-Paul>Brasselet, Felipe>Cano, Dominique>Cerveau, Dung Tráng>Lê, Frank>Loray, Mutsuo>Oka, José>Seade, Mark>Spivakovsky",Papirhos,Notas,2,000,000,nan,2999,"Instituto de Matemáticas, UNAM",0,Resumen proximamente,Físico
pap-not-3,Teoría de las gráficas: algunas aportaciones desde México,"Julian>Fresán, Ilán>Goldfeder, Nahid>Javier, Rita>Zuazua",Papirhos,Notas,3,000,000,nan,2999,"Instituto de Matemáticas, UNAM",0,Resumen proximamente,Físico
pap-act-1,Proceedings of the Workshop on Holomorphic Dynamics,"Patricia>Dominguez Soto, Peter>Makienko, Carlos>Cabrera Ocañas",Papirhos,Actas,1,000,000,nan,2999,"Instituto de Matemáticas, UNAM",0,Resumen proximamente,Físico
