id_autor,nombres,apellidos
jlbt,Jean-Paul,Brasselet
feco,Felipe,Cano
decu,Dominique,Cerveau
dgle,Dung Tráng,Lê
fkly,Frank,Loray
mooa,Mutsuo,Oka
jese,José,Seade
mksy,Mark,Spivakovsky
mapz,Maria Luisa,Pérez Seguí
daaa,"Diana","Avella"
gaco,Gabriela,Campero
ehsz,Edith Corina,Saenz Valadez
ooma,Octavio,Mendoza
maso,María José,Souto
cane,Cecilia,Neve Jimenez
lars,Laura,Rosales Ortiz
jegz,Jose Antonio,Gómez Ortega
csro,Carlos Jacob,Rubio Barrios
rovz,Rogelio,Valdez Delgado
macp,Mónica,Clapp
vrgn,Victor,Guillemin
anpk,Allan,Pollack
mlcz,Manuel,Cruz
mtga,Montserrat,García
jnmr,John,Milnor
jssf,James,Stasheff
fezr,Felipe,Zaldivar
bzmr,Beatriz,Molina-Samper
fosz,Fernando,Sanz
poar,Pablo,Amster
laoz,Laura,Ortiz
jdsi,Jawad,Snoussi
jnfn,Julian,Fresán
ingr,Ilán,Goldfeder
ndjr,Nahid,Javier
raza,Rita,Zuazua
padz,Patricia,Dominguez Soto
prmo,Peter,Makienko
csca,Carlos,Cabrera Ocañas
