id_edicion,id_libro,edicion,anio,isbn_libro,editorial
ed-001,pap-not-1,1,2017,978-607-02-9845-5,"Instituto de Matemáticas, UNAM"
ed-002,cuad-x-1,2,2018,978-607-02-85882,"Instituto de Matemáticas, UNAM"
ed-003,pap-tex-6,1,2017,978-607-02-8824-1,"Instituto de Matemáticas, UNAM"
ed-004,pap-tex-10,1,2020,978-607-30-3681-8,"Instituto de Matemáticas, UNAM"
ed-005,pap-tex-1,3,2014,978-607-02-9435-8,"Instituto de Matemáticas, UNAM"
ed-006,pap-tex-4,1,2016,978-607-02-7814-3,"Instituto de Matemáticas, UNAM"
ed-007,pap-mix-1,,,,
ed-008,pap-ico-3,,,,"Instituto de Matemáticas, UNAM"
ed-009,pap-tex-2,,,,"Instituto de Matemáticas, UNAM"
ed-010,pap-tex-3,,,,"Instituto de Matemáticas, UNAM"
ed-011,pap-tex-5,,,,"Instituto de Matemáticas, UNAM"
ed-012,pap-tex-7,,,,"Instituto de Matemáticas, UNAM"
ed-013,pap-tex-9,,,,"Instituto de Matemáticas, UNAM"
ed-014,pap-tex-11,,,,"Instituto de Matemáticas, UNAM"
ed-015,pap-tex-12,,,,"Instituto de Matemáticas, UNAM"
ed-016,pap-not-2,,,,"Instituto de Matemáticas, UNAM"
ed-017,pap-not-3,,,,"Instituto de Matemáticas, UNAM"
ed-018,pap-act-1,,,,"Instituto de Matemáticas, UNAM"
