id_libro,titulo,coleccion,serie,num_serie,isbn_col,tomo,resumen,estado
pap-not-1,"Teoría de singularidades en topología, geometría y foliaciones I",Papirhos,"Notas",1,978-607-02-5149-8,,"Resumen proximamente","Publicado"
cuad-x-1,"Combinatoria","Cuadernos de olimpiadas de matemáticas",,1,978-968-36-8599-5,,"Resumen 2","Publicado"
pap-tex-6,"Curso introductorio de álgebra I","Papirhos","Textos",6,978-607-02-5149-8,1,"Resumen 3","Publicado"
pap-tex-10,"Curso introductorio de álgebra II","Papirhos","Textos",10,978-607-02-5149-8,2,"Resumen proximamente","Publicado"
pap-tex-1,"Grupos I","Papirhos","Textos",1,978-607-02-9375-7,1,"Resumen 5","Publicado"
pap-tex-4,"Grupos II","Papirhos","Textos",4,978-607-02-5149-8,2,"Resuemn 6","Publicado"
pap-mix-1,"Por la senda de los círculos","Papirhos","Mixbaal",1,,,"Resumen proximamente",
pap-ico-3,"Concursos Nacionales de la Olimpiada Mexicana de Matemáticas:1987-2016","Papirhos","Icosaedro",3,000,,"Resumen proximamente","Físico"
pap-tex-2,"Análisis Matemático","Papirhos","Textos",2,000,,"Resumen proximamente","Físico"
pap-tex-3,"Topología Diferencial","Papirhos","Textos",3,000,,"Resumen proximamente","Físico"
pap-tex-5,"Geometría euclidiana bidimensional y su grupo de transformaciones","Papirhos","Textos",5,000,,"Resumen proximamente","Físico"
pap-tex-7,"Clases características","Papirhos","Textos",7,000,,"Resumen proximamente","Físico"
pap-tex-9,"Introducción al álgebra lineal","Papirhos","Textos",9,000,,"Resumen proximamente","Físico"
pap-tex-11,"Curso breve de geometría proyectiva","Papirhos","Textos",11,000,,"Resumen proximamente","Físico"
pap-tex-12,"Métodos topológicos en el estudio de las ecuaciones diferenciales no lineales","Papirhos","Textos",12,000,,"Resumen proximamente","Físico"
pap-not-2,"Teoría de singularidades en topología, geometría y foliaciones II","Papirhos","Notas",2,000,,"Resumen proximamente","Físico"
pap-not-3,"Teoría de las gráficas: algunas aportaciones desde México","Papirhos","Notas",3,000,,"Resumen proximamente","Físico"
pap-act-1,"Proceedings of the Workshop on Holomorphic Dynamics","Papirhos","Actas",1,000,,"Resumen proximamente","Físico"
