id_libro,resumen
cuad-x-1,"Resumen 2"
pap-tex-6,"Resumen 3"
pap-tex-10,"El resumen 10"
pap-tex-4,"Resuemn 6"
pap-mix-1,"Resumen proximamente"
pap-ico-3,"Resumen proximamente"
pap-tex-2,"Resumen proximamente"
pap-tex-3,"Resumen proximamente"
pap-tex-5,"Resumen proximamente"
pap-tex-7,"Resumen proximamente"
pap-tex-9,"Resumen proximamente"
pap-tex-10,"Resumen proximamente"
pap-tex-11,"Resumen proximamente"
pap-tex-12,"Resumen proximamente"
pap-not-1,"Resumen proximamente"
pap-not-2,"Resumen proximamente"
pap-not-3,"Resumen proximamente"
pap-act-1,"Resumen proximamente"
